DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, full-stack",Portugal,2 to 9 employees,5,70000.0,Elixir;Erlang,,Amazon Web Services (AWS);Cloudflare;Fly.io,
Data engineer,Sweden,"1,000 to 4,999 employees",8,810000.0,Bash/Shell (all shells);Go;Python;SQL,Docker;Homebrew;Kubernetes;Make;Pip;Terraform,Amazon Web Services (AWS);Google Cloud,Apache Kafka;NumPy;Pandas
Academic researcher,South Africa,,,,Delphi;HTML/CSS;Java;Python,MSBuild,Amazon Web Services (AWS);Google Cloud,
Student,United States of America,,,,C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;SQL,Gradle;Maven (build tool);npm;Pip;Vite,Heroku,Pandas;Spring Framework
"Developer, back-end",India,100 to 499 employees,9,4800000.0,Elixir;Go;JavaScript;Ruby,Docker;Homebrew;npm;Vite;Webpack,Amazon Web Services (AWS);Fly.io,
Data engineer,Italy,"1,000 to 4,999 employees",5,50000.0,Bash/Shell (all shells);JavaScript;Python;R;SQL,Docker;Pip,Microsoft Azure,NumPy;Pandas;Scikit-Learn
"Developer, mobile",Portugal,20 to 99 employees,9,39848.0,Java;JavaScript;Swift,,"Amazon Web Services (AWS);Linode, now Akamai",React Native
"Developer, full-stack",Netherlands,2 to 9 employees,4,40000.0,JavaScript;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Netlify;Vercel,Capacitor
"Developer, full-stack",Mexico,,,,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Chocolatey;Composer;npm,,React Native
"Developer, embedded applications or devices",Belize,,,,Assembly;Bash/Shell (all shells);C;C++;Java;Kotlin;Python;SQL,Dagger;Docker;Gradle;Kubernetes;Terraform,Amazon Web Services (AWS);Cloudflare;Google Cloud,Apache Kafka;Flutter;Hadoop;NumPy;Opencv;OpenGL;Pandas;TensorFlow;Torch/PyTorch
"Developer, front-end",Canada,20 to 99 employees,25,200000.0,TypeScript,Yarn,Amazon Web Services (AWS),
Academic researcher,Finland,100 to 499 employees,,,Fortran;Python;Rust,Pip,,NumPy;Pandas
"Developer, full-stack",Netherlands,,,,C#;Go;HTML/CSS;Java;JavaScript;TypeScript,Docker;Godot;Gradle;Maven (build tool);npm,,RabbitMQ
"Developer, full-stack",Poland,20 to 99 employees,4,40000.0,Bash/Shell (all shells);HTML/CSS;Python;Rust;SQL;TypeScript,Webpack;Yarn,,Electron
Other (please specify):,Sweden,"5,000 to 9,999 employees",2,,Bash/Shell (all shells);C++;Python,APT;Pip,Amazon Web Services (AWS),NumPy;Pandas
"Developer, embedded applications or devices",France,100 to 499 employees,6,45000.0,Bash/Shell (all shells);C,Docker;Make;Visual Studio Solution,,
"Developer, full-stack",Canada,500 to 999 employees,12,92000.0,HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,APT;Composer;Docker;Gradle;Homebrew;Kubernetes;Make;Pip;Webpack;Yarn,,NumPy;Pandas;RabbitMQ
"Developer, back-end",Ukraine,20 to 99 employees,7,,C#;HTML/CSS;JavaScript;TypeScript,NuGet;Visual Studio Solution,Amazon Web Services (AWS),.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, full-stack",Poland,500 to 999 employees,1,72000.0,C#;HTML/CSS;JavaScript;TypeScript,Chocolatey;MSBuild;NuGet,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Ukraine,"1,000 to 4,999 employees",6,36000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Firebase;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Flutter
Student,Italy,,,,Bash/Shell (all shells);C++;Dart;JavaScript;Kotlin;Python;Rust;TypeScript,APT;Chocolatey;Docker;Gradle;Maven (build tool);npm;pnpm;Yarn,Cloudflare,Capacitor;Cordova;Electron;Flutter;Ktor;Qt;Tauri;TensorFlow;Torch/PyTorch
"Developer, mobile",Germany,"10,000 or more employees",8,68000.0,C#;C++;Haskell;Java;Python;Rust;SQL;Swift,Homebrew;NuGet;Pip,,.NET (5+) ;.NET MAUI;SwiftUI;Xamarin
"Developer, full-stack",Poland,20 to 99 employees,15,,Bash/Shell (all shells);C;GDScript;Go;HTML/CSS;JavaScript;PHP;Python;SQL,Godot;Make;npm;Webpack,,
"Developer, back-end",France,20 to 99 employees,7,53000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,APT;Bun;Composer;Docker;npm;Vite;Webpack;Yarn,Amazon Web Services (AWS),
Student,Sweden,,,,Assembly;C;C#;Elixir;HTML/CSS;Java;JavaScript;TypeScript,npm;Pacman;Unity 3D;Yarn,,
Student,United Kingdom of Great Britain and Northern Ireland,,,,C#;JavaScript;Python,APT;Docker;npm;Webpack,Cloudflare;Oracle Cloud Infrastructure (OCI);Vercel,
"Developer, full-stack",United States of America,,40,,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Lua;MicroPython;Python;SQL,Ant;Homebrew;Make;Maven (build tool);npm,Amazon Web Services (AWS),NumPy;Spring Framework
Engineering manager,Sri Lanka,"1,000 to 4,999 employees",7,,HTML/CSS;Java;JavaScript;PHP;SQL,Docker;Maven (build tool);npm;Yarn,Amazon Web Services (AWS);Microsoft Azure;Vercel,Apache Kafka
"Developer, full-stack",Italy,2 to 9 employees,26,45000.0,C#;Dart;HTML/CSS;JavaScript;SQL,Docker;MSBuild;NuGet;Vite,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
Scientist,Canada,100 to 499 employees,5,103000.0,Bash/Shell (all shells);C;Fortran;Python,Make,,
"Developer, front-end",Brazil,"10,000 or more employees",6,,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;TypeScript,Maven (build tool),Vercel,React Native
"Developer, back-end",France,,9,,Java;JavaScript;SQL;TypeScript,Maven (build tool),,Apache Kafka;Spring Framework
"Developer, front-end",India,,Less than 1 year,,C;C++;Go;HTML/CSS;JavaScript,,Microsoft Azure,
"Developer, front-end",Ukraine,I don’t know,,,,Webpack,,Cordova
"Developer, full-stack",Argentina,100 to 499 employees,12,45600.0,Clojure;Java;PHP;Python;Ruby;SQL;Visual Basic (.Net),Docker;npm;Pip;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,
Security professional,France,"Just me - I am a freelancer, sole proprietor, etc.",10,110000.0,Bash/Shell (all shells);C;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;MATLAB;Python;Scala;SQL,Docker,Cloudflare;Digital Ocean;Google Cloud,
"Developer, back-end",Canada,20 to 99 employees,3,100000.0,Bash/Shell (all shells);Elixir,Homebrew,Amazon Web Services (AWS);Microsoft Azure,Hugging Face Transformers
"Developer, mobile",Spain,2 to 9 employees,6,120000.0,TypeScript,Homebrew,Amazon Web Services (AWS),React Native
"Developer, full-stack",Nigeria,,,,Assembly;Bash/Shell (all shells);C;HTML/CSS;JavaScript;PHP;Python;SQL,npm,Heroku,
Student,Netherlands,,,,Python;R,,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, front-end",India,"10,000 or more employees",8,,Java;TypeScript,,Firebase,React Native
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,,6,,HTML/CSS;JavaScript;PHP;SQL,Composer;Docker;Homebrew,Cloudflare;Digital Ocean,
Engineering manager,Germany,2 to 9 employees,30,,Assembly;Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL,Make;Ninja;Pip,,CUDA;MFC;NumPy;Qt
"Developer, full-stack",Brazil,"1,000 to 4,999 employees",24,130000.0,Java;PHP;PowerShell;Python;SQL,Ant;Maven (build tool),Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;IBM Cloud Or Watson,Spring Framework
Cloud infrastructure engineer,Ukraine,500 to 999 employees,8,81600.0,Go;Python,APT;Docker;Homebrew;Kubernetes;Make;Pip;Visual Studio Solution,Amazon Web Services (AWS);Google Cloud,Apache Kafka;TensorFlow
"Developer, mobile",United States of America,"10,000 or more employees",Less than 1 year,100000.0,Bash/Shell (all shells);C++;Java;JavaScript;PHP;PowerShell;Python;SQL,Chocolatey;Docker;Maven (build tool);npm;Pip,,Hugging Face Transformers;Pandas;React Native;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch
"Developer, full-stack",Portugal,100 to 499 employees,26,90000.0,Bash/Shell (all shells);Dart;Java;SQL;TypeScript,Ansible;Docker;Gradle,Amazon Web Services (AWS),Flutter;Spring Framework
"Developer, full-stack",Canada,,,,HTML/CSS;JavaScript;TypeScript,npm;Vite;Webpack;Yarn,Cloudflare,
"Developer, full-stack",United States of America,I don’t know,13,,HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;Webpack;Yarn,Digital Ocean;Firebase;Google Cloud,
Student,United States of America,,,,C#;HTML/CSS;JavaScript;Lua;MicroPython;PHP;PowerShell;Python,,Amazon Web Services (AWS),
Academic researcher,Romania,20 to 99 employees,2,140000.0,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL,Ansible;Ant;APT;Docker;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;Puppet;Terraform,Amazon Web Services (AWS);Firebase;Microsoft Azure,Apache Kafka;Flutter;Opencv;RabbitMQ;Spring Framework
Student,Ukraine,,,,Assembly;C;C++;Java;JavaScript;MATLAB;Python;SQL,Docker;Maven (build tool);Pip;Unreal Engine;Visual Studio Solution,Heroku;Microsoft Azure,NumPy;OpenGL;Scikit-Learn;Torch/PyTorch
DevOps specialist,United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees",20,90000.0,Bash/Shell (all shells);C;Go;Lua;Python;SQL,Ansible;Puppet,Hetzner,
"Developer, full-stack",India,,2,,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Ant;Composer;Gradle;Maven (build tool);npm;NuGet;Visual Studio Solution;Webpack,Microsoft Azure,.NET (5+) 
"Developer, desktop or enterprise applications",Portugal,2 to 9 employees,Less than 1 year,,Python;VBA,APT;Godot;Unity 3D,Firebase;VMware,
"Developer, mobile",Myanmar,20 to 99 employees,2,,Swift,Homebrew,Firebase,Flutter;SwiftUI
Student,Poland,,Less than 1 year,,C#;C++;HTML/CSS;SQL,Visual Studio Solution,Microsoft Azure,.NET (5+) 
Designer,Ukraine,,,,HTML/CSS,Google Test,Google Cloud,OpenCL;OpenGL
Research & Development role,France,2 to 9 employees,2,28800.0,Bash/Shell (all shells);C++;Python,Docker;Ninja;npm;Pip;Yarn,,Ruff
Other (please specify):,United States of America,,,,C#;HTML/CSS;JavaScript;SQL;Swift,NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET MAUI;SwiftUI;Xamarin
"Developer, full-stack",Ukraine,100 to 499 employees,2,,C#;HTML/CSS;JavaScript,,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Peru,20 to 99 employees,3,90000.0,JavaScript;Python;SQL;TypeScript,Docker;Kubernetes;Terraform,Amazon Web Services (AWS);Cloudflare;Google Cloud,
"Developer, full-stack",United States of America,I don’t know,33,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Brazil,20 to 99 employees,11,67000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Docker,,
"Developer, full-stack",Spain,"10,000 or more employees",5,27500.0,Java;SQL;TypeScript,,OpenShift,
"Developer, AI",Ukraine,,2,,Python,Pip,,
Other (please specify):,Portugal,100 to 499 employees,11,46500.0,C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,Kubernetes;MSBuild;NuGet;Terraform,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;RabbitMQ
"Developer, back-end",Cyprus,20 to 99 employees,3,30000.0,C;C++;Haskell;Java;Python;SQL;VBA,Maven (build tool);Puppet,Firebase,Spring Framework
"Developer, full-stack",United States of America,10 to 19 employees,2,75000.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Homebrew;Make;npm;Terraform;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Heroku;Vercel,
"Developer, full-stack",Guatemala,20 to 99 employees,2,252000.0,Go;HTML/CSS;JavaScript;TypeScript,Docker;Make;npm,Amazon Web Services (AWS);Vercel,
"Developer, embedded applications or devices",Ukraine,"5,000 to 9,999 employees",3,1200.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;Python,APT;Docker;Make;Ninja;Pacman,Hetzner,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;NumPy;OpenCL;OpenGL;Pandas;Qt;Scikit-Learn
Student,Ukraine,,,,HTML/CSS;Java;JavaScript;PHP;Python,Unreal Engine;Visual Studio Solution,Amazon Web Services (AWS);Hetzner,
"Developer, full-stack",Spain,20 to 99 employees,16,36000.0,C;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,Kubernetes;Maven (build tool);npm;Pacman;Pip;Vite;Webpack,Amazon Web Services (AWS);Vercel,Electron;GTK
"Developer, mobile",Ukraine,100 to 499 employees,7,,Java;Kotlin,APT;Gradle;Pip,Firebase,
"Developer, back-end",Ukraine,20 to 99 employees,2,,Python,Docker;Kubernetes;Pip,,
"Developer, full-stack",Chile,20 to 99 employees,16,,C#;HTML/CSS;JavaScript;PHP;PowerShell,Google Test;npm;NuGet;Visual Studio Solution,Google Cloud,.NET (5+) ;.NET Framework (1.0 - 4.8);Ionic;Roslyn
"Developer, QA or test",Pakistan,2 to 9 employees,2,,HTML/CSS;JavaScript;TypeScript,npm,Vercel,Capacitor;Ionic;React Native
"Developer, full-stack",Canada,500 to 999 employees,11,115000.0,Go;Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,Docker;Homebrew;Maven (build tool);npm;Pip;Terraform;Yarn,Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Render;Vercel,Quarkus;RabbitMQ;Spring Framework
"Developer, embedded applications or devices",Germany,"Just me - I am a freelancer, sole proprietor, etc.",32,,Bash/Shell (all shells);C#;HTML/CSS;Perl;Python,NuGet,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Sweden,100 to 499 employees,8,555000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Docker;npm;NuGet;Visual Studio Solution;Webpack,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Canada,"Just me - I am a freelancer, sole proprietor, etc.",Less than 1 year,,C#;HTML/CSS;Lua;Rust;SQL;TypeScript,Bun;npm;Unity 3D,Digital Ocean,Electron;Tauri
"Developer, full-stack",India,10 to 19 employees,36,5000000.0,Assembly;C++;HTML/CSS;Java;JavaScript;Perl;PHP,,,GTK
"Developer, front-end",Ukraine,,,,HTML/CSS;JavaScript;TypeScript,Docker;npm;Vite;Webpack,Firebase;Microsoft Azure;Netlify,
Student,"Iran, Islamic Republic of...",,,,C;C#;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,Bun;npm;pnpm;Vite,,Electron;Tauri
"Developer, embedded applications or devices",United States of America,,Less than 1 year,,C;C++;Python,,Google Cloud,NumPy;TensorFlow
"Developer, full-stack",Ukraine,100 to 499 employees,3,,Apex;Java;JavaScript,Docker;Maven (build tool),Amazon Web Services (AWS);Heroku,.NET Framework (1.0 - 4.8)
Cloud infrastructure engineer,Ukraine,"5,000 to 9,999 employees",10,48000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Docker;Gradle;Homebrew;Kubernetes;npm;Pip;Pulumi;Terraform,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner,
"Developer, full-stack",Mexico,"Just me - I am a freelancer, sole proprietor, etc.",2,,HTML/CSS;JavaScript;TypeScript,Nix;npm;pnpm;Vite,Cloudflare;Firebase;Vercel,Electron
"Developer, game or graphics",Ukraine,,,,C;C#;C++,Unity 3D,Digital Ocean,DirectX
Security professional,India,"1,000 to 4,999 employees",22,9700000.0,C#,NuGet,Amazon Web Services (AWS);Microsoft Azure,Apache Kafka
"Developer, desktop or enterprise applications",Germany,20 to 99 employees,29,,C#;SQL,NuGet,,.NET Framework (1.0 - 4.8)
"Developer, full-stack",Chile,,Less than 1 year,,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,npm;Pip;pnpm;Vite;Webpack;Yarn,Cloudflare;Microsoft Azure;OVH;Vercel,React Native
"Developer, full-stack",Spain,,,,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,Bun;npm;Pip;Vite,Microsoft Azure;Vercel,
"Developer, full-stack",United States of America,100 to 499 employees,20,225000.0,Bash/Shell (all shells);Go;JavaScript;TypeScript,APT;Bun;Docker;Kubernetes;npm,Amazon Web Services (AWS);Google Cloud,
"Developer, full-stack",Ecuador,100 to 499 employees,5,12000.0,C#;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript;Zig,Docker;npm;Pip;pnpm;Unity 3D;Vite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Capacitor;TensorFlow;Torch/PyTorch
Student,Ukraine,,,,Java,Maven (build tool),,Spring Framework
"Developer, QA or test",Ukraine,20 to 99 employees,Less than 1 year,600000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,npm;Unity 3D,,
Cloud infrastructure engineer,Denmark,20 to 99 employees,17,,C#;JavaScript;PowerShell,MSBuild;NuGet,Microsoft Azure,.NET (5+) 
"Developer, mobile",Brazil,100 to 499 employees,6,140000.0,Dart;Kotlin;SQL;Swift,Docker;Gradle;Homebrew,Amazon Web Services (AWS);Firebase;Google Cloud,Flutter
"Developer, full-stack",India,"Just me - I am a freelancer, sole proprietor, etc.",20,500000.0,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),MSBuild;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",India,20 to 99 employees,Less than 1 year,,Bash/Shell (all shells);C;C++;Java;JavaScript;Python;SQL;TypeScript,APT;Docker;Make;npm;Pacman;Pip;Vite,"Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Linode, now Akamai",Electron;NumPy;Opencv;OpenGL;Pandas;Quarkus;RabbitMQ;Scikit-Learn;TensorFlow;Torch/PyTorch
Data engineer,Ukraine,"Just me - I am a freelancer, sole proprietor, etc.",8,,Python;SQL,Docker;Pip;Visual Studio Solution,Digital Ocean;Google Cloud,CUDA;Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch
,India,,,,C++;Python,,,
"Developer, back-end",Spain,20 to 99 employees,8,30000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,Bun;Chocolatey;Composer;npm;Unreal Engine;Vite,Cloudflare;Google Cloud,Ruff
System administrator,Ukraine,,3,,Bash/Shell (all shells);Python,Homebrew;Kubernetes,OpenStack,
Academic researcher,Mexico,500 to 999 employees,25,,C;MATLAB;R,,,
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"Just me - I am a freelancer, sole proprietor, etc.",25,,C#;Go;Kotlin;Visual Basic (.Net),Docker;npm,,
"Developer, full-stack",Ukraine,"5,000 to 9,999 employees",5,1500000.0,C#,Docker;MSBuild;npm;Visual Studio Solution;Vite,Microsoft Azure,.NET (5+) ;Xamarin
"Developer, full-stack",Kuwait,20 to 99 employees,9,23500.0,Dart;Elixir;Python;Ruby;TypeScript,APT;Docker;Homebrew;npm;Pip;Yarn,"Digital Ocean;Fly.io;Linode, now Akamai",Capacitor;Flutter;Ionic
"Developer, back-end",Ukraine,"Just me - I am a freelancer, sole proprietor, etc.",12,,PowerShell;Python,Docker,Amazon Web Services (AWS),Opencv;Pandas;RabbitMQ;TensorFlow;Torch/PyTorch
"Senior Executive (C-Suite, VP, etc.)",India,2 to 9 employees,20,,HTML/CSS;JavaScript;Solidity;TypeScript,npm,Heroku;Microsoft Azure;Vercel;Vultr,
"Developer, back-end",Ukraine,,5,,Python,Docker;Pip,Google Cloud,Pandas
"Developer, full-stack",Colombia,2 to 9 employees,13,8000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Composer;Docker;npm;Vite,Amazon Web Services (AWS);Digital Ocean,
"Developer, back-end",Ukraine,"1,000 to 4,999 employees",6,1968000.0,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Docker;Kubernetes;npm,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, full-stack",Russian Federation,2 to 9 employees,21,,HTML/CSS;JavaScript;PHP;SQL;TypeScript,,,
"Developer, QA or test",Spain,10 to 19 employees,8,32000.0,C#;HTML/CSS;JavaScript,Vite,,
"Developer, full-stack",Mexico,500 to 999 employees,4,323000.0,C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Bun;Composer;Docker;Godot;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;pnpm;Unity 3D;Unreal Engine;Vite;Webpack,Cloudflare;Firebase;Google Cloud;Heroku;Vercel,Flutter;Keras;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch
"Engineer, site reliability",Ireland,"10,000 or more employees",26,160000.0,Bash/Shell (all shells);Go;JavaScript;Perl;PHP;Python;Rust;SQL;TypeScript,Ansible;APT;Chef;Docker;Homebrew;Make;Maven (build tool);npm;Webpack,Hetzner,
"Developer, back-end",Ukraine,20 to 99 employees,2,900000.0,HTML/CSS;JavaScript;PHP;SQL,Composer;Docker,,
"Developer, back-end",Ukraine,"10,000 or more employees",2,,Python,Docker,,
"Developer, full-stack",Ukraine,20 to 99 employees,4,2200.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,Docker;Kubernetes;npm;NuGet;Pip;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Heroku,
DevOps specialist,Ukraine,10 to 19 employees,1,7200.0,Bash/Shell (all shells);PowerShell;Python;SQL,Ansible;Docker;Kubernetes;Make;npm;Webpack,Amazon Web Services (AWS);Microsoft Azure;Vultr,
"Developer, full-stack",Peru,2 to 9 employees,3,42000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,Composer;Docker;Make;npm;NuGet;Pip;Vite;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;NumPy;Pandas;Torch/PyTorch;Xamarin
"Developer, full-stack",Uruguay,,,,C;C++;HTML/CSS;JavaScript;PHP,Chocolatey;Homebrew;npm,,
"Developer, full-stack",United States of America,,,,Go;HTML/CSS;Java;JavaScript;Python;SQL,Docker;Gradle;Homebrew;npm;Pip;Vite;Yarn,Digital Ocean;Vercel,
"Developer, back-end",Ukraine,2 to 9 employees,Less than 1 year,4200.0,JavaScript;Python;TypeScript,APT;Make;npm;Pip,Render,
"Developer, full-stack",Brazil,2 to 9 employees,5,180000.0,JavaScript;SQL;TypeScript,APT;npm;Webpack;Yarn,Vercel,Electron;React Native
Data or business analyst,Spain,I don’t know,3,23000.0,HTML/CSS;JavaScript;Python;R;Scala;SQL;TypeScript,Docker;Pip,Microsoft Azure;OpenShift;Oracle Cloud Infrastructure (OCI);Render,Keras;NumPy;Pandas;Scikit-Learn;Tidyverse
"Developer, full-stack",Ukraine,20 to 99 employees,3,13200.0,C++;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;TypeScript,Docker;Homebrew;npm;Webpack,Digital Ocean;Google Cloud,NumPy;Pandas;Scikit-Learn
"Senior Executive (C-Suite, VP, etc.)",Italy,2 to 9 employees,9,100000.0,Bash/Shell (all shells);C;C++;Clojure;HTML/CSS;JavaScript;Python;Rust;SQL,Docker;Kubernetes;Pacman,IBM Cloud Or Watson;Microsoft Azure,
Data scientist or machine learning specialist,United States of America,"1,000 to 4,999 employees",15,158000.0,Python,Docker;Homebrew;Make;Pip,Amazon Web Services (AWS),Hugging Face Transformers;JAX;NumPy;Pandas;Scikit-Learn;Torch/PyTorch
"Developer, full-stack",Argentina,,,,HTML/CSS;Java;JavaScript;TypeScript,npm;pnpm;Vite,Amazon Web Services (AWS);Firebase;Render;Vercel,
"Developer, back-end",United States of America,"10,000 or more employees",8,170000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,Docker;Gradle;npm;Pip,Amazon Web Services (AWS);Vercel,Apache Kafka
Engineering manager,Ukraine,20 to 99 employees,10,,C++;Dart;Go;Groovy;HTML/CSS;Java;Kotlin;Python;SQL;TypeScript,Dagger;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip,Amazon Web Services (AWS);Hetzner,Apache Kafka;Capacitor;Flutter;Ktor;OpenCL;Quarkus;Spring Framework
"Developer, full-stack",Germany,"10,000 or more employees",12,72000.0,C;HTML/CSS;Java;Python;TypeScript,Docker;Gradle;Kubernetes;Maven (build tool);npm;Webpack,Amazon Web Services (AWS),Spring Framework
Student,Ukraine,,,,Python,Unity 3D;Unreal Engine,,
"Developer, full-stack",Ukraine,10 to 19 employees,8,,HTML/CSS;JavaScript;PHP;SQL;TypeScript,APT;Composer;Docker;Homebrew;npm;Yarn,Hetzner,RabbitMQ
"Developer, mobile",Sri Lanka,100 to 499 employees,4,,Dart;HTML/CSS;JavaScript;PHP;SQL,Composer;Gradle;Homebrew;npm,"Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Linode, now Akamai;Microsoft Azure;Netlify;Render;Vultr",Flutter
"Developer, full-stack",Ukraine,10 to 19 employees,1,30000.0,HTML/CSS;JavaScript;Objective-C;PHP;TypeScript,Docker;Webpack,Render;Vercel,React Native
"Developer, back-end",Ukraine,100 to 499 employees,3,1200000.0,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Docker;Gradle;Homebrew;Kubernetes;npm;Pip;Terraform,Amazon Web Services (AWS),Apache Kafka;NumPy;Opencv;OpenGL;Spring Framework;TensorFlow
Student,United States of America,,,,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;Lua;Python;Rust;SQL;Zig,Make;Pacman;Pip,,OpenGL
Student,France,,,,Dart;HTML/CSS;Java;Python,Maven (build tool),,Flutter
"Developer, full-stack",Austria,"1,000 to 4,999 employees",12,56860.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Docker;MSBuild;npm;NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);Opencv
"Developer, full-stack",Germany,2 to 9 employees,35,50000.0,C#,NuGet,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, back-end",Ukraine,20 to 99 employees,9,,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Scala;SQL;TypeScript,Ant;APT;Chocolatey;Composer;Dagger;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Terraform;Yarn,Amazon Web Services (AWS);Google Cloud;Hetzner,Apache Spark;Electron;Qt;Spring Framework
Cloud infrastructure engineer,Argentina,10 to 19 employees,13,130000.0,TypeScript,Homebrew;npm;pnpm;Terraform;Vite,Amazon Web Services (AWS);Google Cloud,
"Developer, back-end",Spain,"1,000 to 4,999 employees",11,65000.0,JavaScript;PHP;Ruby;SQL,Docker;Homebrew;Kubernetes,Amazon Web Services (AWS);Managed Hosting;VMware,Apache Kafka;RabbitMQ
