DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, embedded applications or devices",4000000.0,Python,,,,Rasberry Pi,TensorFlow,
Engineering manager,267150000.0,Python,PostgreSQL,Amazon Web Services (AWS),Flask,,RabbitMQ,Fintech
"Developer, mobile",84000000.0,Objective-C;Swift,Cloud Firestore,Firebase,,,SwiftUI,Media & Advertising Services
"Developer, full-stack",22500000.0,HTML/CSS;Java;JavaScript;Python,PostgreSQL,,Vue.js,GNU GCC,,Manufacturing
"Developer, back-end",84500000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE,,.NET (5+),
"Developer, full-stack",274000000.0,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL;Redis,Netlify,Gatsby;Node.js;React,,,
"Developer, full-stack",10800000.0,HTML/CSS;JavaScript;Rust;TypeScript,MongoDB;PostgreSQL;SQLite;Supabase,,Express;Next.js;Node.js;React,Cargo,Electron;React Native,Insurance
Engineering manager,168000000.0,Groovy;Java;JavaScript;Lua;Perl;Python;Ruby;Rust;SQL,BigQuery;Elasticsearch;H2;InfluxDB;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud,Angular;AngularJS;Django;Express;FastAPI;Flask;Node.js;React;Spring Boot;Svelte,CMake;GNU GCC,Electron;Keras;NumPy;Opencv;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;SwiftUI;TensorFlow,Software Development
"Developer, full-stack",13320000.0,C#;Java;JavaScript;Python;SQL,MySQL,,ASP.NET CORE;Node.js;Spring Boot,,Spring Framework,"Internet, Telecomm or Information Services"
"Developer, back-end",90000000.0,C#,Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Cloudflare;Google Cloud,ASP.NET CORE,,.NET (5+),"Transportation, or Supply Chain"
"Developer, mobile",112500000.0,Objective-C;PHP;Swift,,Cloudflare,WordPress,Rasberry Pi,SwiftUI,
Cloud infrastructure engineer,142065000.0,Go;PHP,Dynamodb;MySQL;PostgreSQL,Amazon Web Services (AWS),,,,
"Developer, full-stack",79950000.0,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,H2;Microsoft SQL Server,Microsoft Azure,React;Spring Boot,,.NET (5+);React Native,
"Developer, AI",12800000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,MongoDB;MySQL;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure",Angular;ASP.NET;Django;Express;Flask;jQuery;Laravel;Node.js;Svelte,Arduino;Rasberry Pi,Keras;Opencv;Pandas;RabbitMQ;Torch/PyTorch,Software Development
DevOps specialist,82500000.0,Bash/Shell (all shells);HTML/CSS;PowerShell;Python;TypeScript,Cosmos DB;Firebase Realtime Database;PostgreSQL,Firebase;Microsoft Azure,FastAPI;React,,,Energy
Engineering manager,94500000.0,Go;Java;JavaScript,,Amazon Web Services (AWS),,,,Software Development
"Developer, game or graphics",105000000.0,C++;Python,,,,CMake;LLVM's Clang,.NET (5+);OpenGL,Software Development
Data engineer,105000000.0,Python,SQLite,,FastAPI,,Pandas;Scikit-Learn,Energy
Cloud infrastructure engineer,24660000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Dynamodb;MySQL,Amazon Web Services (AWS);Digital Ocean,Express;Node.js;React;WordPress,,Apache Spark;Flutter;Scikit-Learn;TensorFlow,Higher Education
"Developer, back-end",203280000.0,HTML/CSS;Java;JavaScript;PowerShell;SQL,PostgreSQL,,Next.js;Node.js,Arduino,,Software Development
"Developer, back-end",105000000.0,C#,MongoDB,Microsoft Azure,,,.NET (5+);RabbitMQ,
Engineering manager,204000000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,SQLite,Cloudflare;Digital Ocean;Fly.io;Netlify;Vercel,Angular;Express;Next.js;Node.js;React;Svelte;Vue.js,,,Software Development
"Developer, full-stack",48618150.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,BigQuery;Firebase Realtime Database;PostgreSQL,Google Cloud,Express;Node.js;React;Vue.js,,,Software Development
"Developer, mobile",30240000.0,Bash/Shell (all shells);Dart;Python;SQL;Swift,Cloud Firestore;SQLite,Firebase,React,,Flutter,
"Developer, embedded applications or devices",198650000.0,C++;Python;TypeScript,,,Node.js;React,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Keras;NumPy;Opencv;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Manufacturing
"Developer, full-stack",68040000.0,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript;VBA,H2;InfluxDB;MySQL;PostgreSQL;SQLite,,Angular;FastAPI;Flask;React;Spring Boot,Arduino;Rasberry Pi,,Software Development
"Developer, full-stack",1890000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js,Arduino;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,
Engineering manager,132890000.0,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;Redis,Amazon Web Services (AWS);Heroku;Microsoft Azure,ASP.NET;ASP.NET CORE;Node.js;React;Ruby on Rails;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;RabbitMQ;Xamarin,Software Development
"Developer, full-stack",479500000.0,C++;Go;HTML/CSS;Java;JavaScript;Python;TypeScript,,,,CMake;LLVM's Clang;Rasberry Pi,,Software Development
"Developer, embedded applications or devices",45500000.0,C;C++;Python,,,,CMake;GNU GCC,Opencv,Retail and Consumer Services
"Developer, mobile",37740000.0,Bash/Shell (all shells);C#;C++;Dart;Go;Java;JavaScript;Kotlin;Lua;MATLAB;Objective-C;PHP;Python;Rust;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,"Amazon Web Services (AWS);Firebase;Google Cloud;Linode, now Akamai;Vercel",ASP.NET;ASP.NET CORE;Express;Flask;Next.js;Node.js;React;Svelte;Vue.js,CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Electron;Flutter;Keras;NumPy;Opencv;OpenGL;Pandas;React Native;TensorFlow,
"Developer, back-end",60199999.99999999,Java;SQL,MariaDB;PostgreSQL,Oracle Cloud Infrastructure (OCI),Angular,,Spring Framework,Banking/Financial Services
"Developer, full-stack",16200000.0,C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;Python;SQL;TypeScript,Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Vercel;VMware,Angular;ASP.NET;ASP.NET CORE;Express;NestJS;Next.js;Node.js;React;WordPress,CMake;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);Flutter,Software Development
Data engineer,160200000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript,BigQuery;Dynamodb;Elasticsearch;MariaDB;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud;Vercel,Django;Express;Flask;jQuery;Next.js;Node.js;React,CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,NumPy;Pandas,Software Development
"Developer, full-stack",6000000.0,HTML/CSS;JavaScript;PHP;SQL,MySQL,Amazon Web Services (AWS),Laravel,,,Software Development
"Developer, back-end",137481000.0,JavaScript;Objective-C;SQL;Swift;TypeScript,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,React,,SwiftUI,
"Developer, full-stack",112500000.0,C#;Go;Python;Rust;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,ASP.NET CORE;React,Cargo;Rasberry Pi,.NET Framework (1.0 - 4.8);NumPy;RabbitMQ,"Internet, Telecomm or Information Services"
Cloud infrastructure engineer,156860000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Cosmos DB;Microsoft SQL Server;MongoDB;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,,.NET (5+),
"Developer, full-stack",14580000.0,C#;HTML/CSS;Python;SQL;TypeScript,Microsoft SQL Server;Oracle;PostgreSQL,,Express;FastAPI;Next.js;React,,.NET Framework (1.0 - 4.8),Manufacturing
"Developer, full-stack",117000000.0,C++,SQLite,,,,Qt,
"Developer, back-end",105000000.0,Python,PostgreSQL,Amazon Web Services (AWS),FastAPI,,Apache Kafka;Pandas;Scikit-Learn,"Transportation, or Supply Chain"
"Developer, full-stack",126000000.0,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;Dynamodb;Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",82500000.0,Dart;Kotlin,Cloud Firestore;PostgreSQL;SQLite,Firebase;Google Cloud;VMware,,,Flutter;RabbitMQ,Software Development
"Developer, full-stack",63000000.0,C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;TypeScript,MariaDB;PostgreSQL;Redis;Solr,Hetzner,Angular;Vue.js,CMake;GNU GCC;LLVM's Clang,,Software Development
"Developer, full-stack",45000000.0,C#;HTML/CSS;Rust,Microsoft SQL Server;SQLite,Cloudflare;Microsoft Azure,,CMake;GNU GCC;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8),Media & Advertising Services
"Developer, front-end",120000000.0,HTML/CSS;JavaScript;Rust;TypeScript,MySQL;Supabase,Fly.io;Heroku;Hetzner;Vercel,Express;Node.js;React,,,
"Developer, full-stack",135000000.0,Assembly;Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,Dynamodb;MongoDB;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Heroku;Netlify;OVH;Vercel,Express;Next.js;Node.js;React;Svelte;Vue.js,Arduino;CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Electron;Opencv;OpenGL;Qt;React Native,Software Development
"Developer, back-end",20340000.0,Java;Python;SQL,Elasticsearch;MongoDB;PostgreSQL,,,,,Software Development
"Developer, full-stack",105400000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Dynamodb;PostgreSQL;SQLite,"Amazon Web Services (AWS);Linode, now Akamai;OVH;VMware",FastAPI;Node.js;React,Rasberry Pi,,Media & Advertising Services
"Developer, front-end",113030000.0,HTML/CSS;JavaScript,,Amazon Web Services (AWS),Vue.js;WordPress,,,
Data scientist or machine learning specialist,67500000.0,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;R;SQL,Oracle;PostgreSQL,,jQuery,,CUDA;Opencv;Scikit-Learn,
"Developer, full-stack",54000000.0,C#;Java;JavaScript;PHP;PowerShell;Python;R;Scala;SQL,Cassandra;MariaDB;MySQL;PostgreSQL;Redis;SQLite,,Express;FastAPI;Flask;Laravel,,Apache Kafka;Electron;NumPy,
Engineering manager,159600000.0,Bash/Shell (all shells);C#;JavaScript;Python;SQL,BigQuery;Cloud Firestore;Dynamodb;PostgreSQL;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud,,,NumPy;Pandas,Fintech
"Developer, mobile",79500000.0,Kotlin;Swift;TypeScript,Cloud Firestore;MongoDB;Supabase,Amazon Web Services (AWS),Next.js,,Flutter;React Native;SwiftUI,Software Development
"Developer, full-stack",155750000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,ASP.NET CORE;React,,.NET (5+),Software Development
"Developer, full-stack",90000000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Dynamodb;Microsoft SQL Server;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;Next.js;React,,.NET (5+);RabbitMQ,Software Development
"Developer, full-stack",67200000.0,C#;Go;JavaScript;PHP;SQL;TypeScript,PostgreSQL,Google Cloud,Angular;Symfony,,,
"Developer, back-end",116424000.0,Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL;Redis,Cloudflare,,Rasberry Pi,Flutter,
"Developer, front-end",18906000.0,HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku,Express;NestJS;Node.js;React,,,Software Development
"Developer, back-end",52500000.0,Bash/Shell (all shells);C;Go;Python,MariaDB,,,,,
Cloud infrastructure engineer,27400000.0,HTML/CSS;JavaScript;PHP;Rust,MySQL;PostgreSQL,Cloudflare,Django;jQuery;Symfony,,,Computer Systems Design and Services
"Developer, front-end",68100000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,MariaDB;MySQL,Microsoft Azure,jQuery;Laravel;Next.js;Node.js;React,Arduino,,
"Developer, back-end",48126000.0,Java;SQL,PostgreSQL,Amazon Web Services (AWS),Spring Boot,,Apache Kafka;Spring Framework,
"Developer, full-stack",144000000.0,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Python;TypeScript,Redis,Vercel,AngularJS;ASP.NET;ASP.NET CORE;Next.js;Node.js;Nuxt.js;React;Vue.js,Rasberry Pi,,Software Development
"Developer, full-stack",52500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL,,Angular;AngularJS;jQuery;Node.js;WordPress,,,Manufacturing
Data engineer,44161500.0,Bash/Shell (all shells);C;Java;PHP;Python;SQL,IBM DB2;Oracle,,,,Apache Spark;Pandas,
"Developer, front-end",298548000.0,HTML/CSS;JavaScript;TypeScript,,Vercel,Express;Next.js;Node.js;React;Ruby on Rails,,,Media & Advertising Services
"Developer, full-stack",100000000.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,,ASP.NET CORE,,.NET (5+);RabbitMQ,"Transportation, or Supply Chain"
"Developer, front-end",525000.0,HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database;MongoDB,Firebase;Netlify;Vercel,Next.js;React,,,
"Developer, back-end",7680000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;TypeScript,MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku,Django;Express;jQuery;Next.js;Node.js;React,,,Software Development
"Developer, front-end",106920000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PowerShell;Python;SQL;TypeScript,Dynamodb;MongoDB;MySQL,Amazon Web Services (AWS);Firebase;Vercel,Angular;AngularJS;Express;React;Vue.js,,.NET (5+);Flutter;OpenGL;Torch/PyTorch,Media & Advertising Services
"Developer, back-end",159600000.0,Python;Ruby,PostgreSQL;Redis,Amazon Web Services (AWS),FastAPI;Ruby on Rails,,,Fintech
"Developer, full-stack",160000000.0,Bash/Shell (all shells);Go;Java;JavaScript;Python;Rust;TypeScript,PostgreSQL;Redis,,Angular,,Spring Framework,"Internet, Telecomm or Information Services"
Data engineer,81000000.0,Bash/Shell (all shells);Java;Python;SQL,,Amazon Web Services (AWS),,,Apache Spark,
"Developer, back-end",4200000.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Cloud Firestore;H2;Microsoft SQL Server;Oracle;PostgreSQL,Cloudflare;Firebase;Google Cloud;Microsoft Azure,FastAPI;Next.js;Node.js;Spring Boot,Rasberry Pi,Flutter;Hugging Face Transformers,Software Development
"Developer, back-end",59500000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;TypeScript,Cloud Firestore;Firebase Realtime Database;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Fly.io;Google Cloud;Vercel,Express;Fastify;NestJS;Node.js;React,,.NET (5+);Ionic;RabbitMQ,Software Development
"Developer, mobile",132342000.0,HTML/CSS;JavaScript;TypeScript,MySQL;SQLite,,Express;Node.js;React,,React Native,Fintech
"Developer, back-end",26250000.0,C;C++;Java;PHP;Scala;SQL,MariaDB;Redis,,Django;Symfony,CMake;GNU GCC,Opencv,Software Development
Data engineer,72000000.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB,,Laravel,,,Software Development
"Developer, back-end",112500000.0,Python,PostgreSQL,Amazon Web Services (AWS),Django,,,Software Development
Engineering manager,122500000.0,C#;Java;SQL,MariaDB,,,,Apache Kafka,"Transportation, or Supply Chain"
"Developer, full-stack",891000.0,JavaScript;SQL;TypeScript,Oracle,,Angular;Node.js,,Capacitor;Ionic,
"Developer, front-end",33750000.0,HTML/CSS;JavaScript;TypeScript,,Vercel,Angular;Node.js;Svelte,,,"Internet, Telecomm or Information Services"
"Developer, full-stack",247380000.0,Bash/Shell (all shells);JavaScript;Python;SQL,PostgreSQL,Amazon Web Services (AWS),Express;FastAPI;React,,Pandas,Fintech
"Developer, full-stack",120500000.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean,React;Ruby on Rails,,,Software Development
"Developer, full-stack",82500000.0,C;C#;C++;Go;HTML/CSS;PowerShell;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;React,Arduino;GNU GCC,.NET (5+),Insurance
"Developer, full-stack",82500000.0,HTML/CSS;JavaScript;Rust;SQL;TypeScript,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),NestJS;Vue.js,Cargo,Apache Kafka,
"Developer, full-stack",38140800.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle;SQLite,,ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8);Xamarin,Software Development
"Developer, full-stack",13200000.000000002,Dart;Go;HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;PostgreSQL;Redis;SQLite;Supabase,"Heroku;Linode, now Akamai;Vercel",Angular;Django;Next.js;React,,Flutter,Software Development
Engineering manager,165000000.0,Bash/Shell (all shells);Python;Scala;SQL,Dynamodb;Elasticsearch;Microsoft SQL Server;Oracle,Amazon Web Services (AWS);Microsoft Azure,,Arduino;Rasberry Pi,Apache Spark;Scikit-Learn,Energy
"Developer, full-stack",97900000.0,C#;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,Amazon Web Services (AWS),Angular;AngularJS;ASP.NET;ASP.NET CORE;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, back-end",298660000.0,Go;JavaScript,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,React,,,
"Developer, full-stack",88500000.0,HTML/CSS;Java;JavaScript;Rust;SQL;TypeScript,PostgreSQL,,React,Cargo,,
"Developer, full-stack",48750000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,MySQL;Oracle;PostgreSQL,Google Cloud;Microsoft Azure;OpenShift,Angular;Express;Node.js,,Spring Framework,
"Developer, front-end",100500000.0,HTML/CSS;JavaScript,MongoDB;MySQL,Amazon Web Services (AWS),Express;Node.js;Nuxt.js;Vue.js,,,Media & Advertising Services
"Developer, back-end",63960000.0,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;Scala;SQL,PostgreSQL,,ASP.NET CORE;Spring Boot,,.NET (5+);Spring Framework,Software Development
"Developer, back-end",134750000.0,Bash/Shell (all shells);JavaScript;Ruby;SQL,MySQL;Redis,Amazon Web Services (AWS),Ruby on Rails,,,Fintech
"Developer, full-stack",56128500.0,Java,MySQL,Amazon Web Services (AWS),Node.js,,,Software Development
"Developer, back-end",55500000.0,Java;SQL,Oracle,,,,Spring Framework,Software Development
"Developer, full-stack",240000000.0,Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;PHP;SQL,MariaDB;SQLite,Netlify,AngularJS;Node.js;Svelte,Arduino;GNU GCC;LLVM's Clang;Rasberry Pi,,
DevOps specialist,122460000.0,Bash/Shell (all shells);JavaScript;PowerShell,Dynamodb;MySQL;PostgreSQL,Microsoft Azure,Node.js,,,
"Developer, full-stack",54800000.0,C#;C++;Java;JavaScript;SQL,Microsoft SQL Server,Amazon Web Services (AWS);Google Cloud,ASP.NET;ASP.NET CORE,Arduino;CMake,.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin,
"Developer, back-end",102600000.0,Bash/Shell (all shells);JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Google Cloud;Microsoft Azure,NestJS;React,,,
"Developer, full-stack",0.0,C#,PostgreSQL;SQLite,Amazon Web Services (AWS),ASP.NET CORE;Blazor,,.NET (5+);.NET MAUI,Software Development
Data scientist or machine learning specialist,300000000.0,Bash/Shell (all shells);Python;R,,Amazon Web Services (AWS),,,Apache Spark;Keras;NumPy;Pandas;Scikit-Learn,
"Developer, full-stack",60000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,MySQL;PostgreSQL,,Flask;jQuery;WordPress,,,Software Development
"Developer, mobile",48600000.0,Bash/Shell (all shells);Java;Kotlin,SQLite,Google Cloud;Heroku,,Arduino;Rasberry Pi,,
"Developer, full-stack",30000000.0,C;HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;MySQL;PostgreSQL,,Angular;jQuery;React;Spring Boot,,RabbitMQ,
"Developer, full-stack",52000000.0,Java;JavaScript;Python;Rust;SQL,MariaDB,Amazon Web Services (AWS);Managed Hosting,React;Spring Boot,,Spring Framework,Media & Advertising Services
"Developer, full-stack",13700000.0,Assembly;C;C++;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,,Deno;Node.js;React,Arduino;GNU GCC;LLVM's Clang,,
"Developer, full-stack",145771500.0,Groovy;HTML/CSS;JavaScript;TypeScript,,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Node.js,,,Software Development
"Developer, mobile",63000000.0,C#;HTML/CSS;Java;JavaScript;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Xamarin,Software Development
"Developer, full-stack",258000000.0,C;C#;Java;JavaScript;Python;TypeScript,MongoDB;MySQL;Snowflake,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE;React;Spring Boot,CMake;GNU GCC,.NET (5+);Pandas;Spring Framework,Software Development
"Developer, back-end",27200000.0,HTML/CSS;Java;JavaScript;SQL;TypeScript,H2;PostgreSQL;Redis,Amazon Web Services (AWS),Angular;Spring Boot,,,Fintech
"Developer, full-stack",232900000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),Microsoft SQL Server;MySQL,Microsoft Azure,ASP.NET;ASP.NET CORE;Node.js;Vue.js,,.NET (5+);.NET Framework (1.0 - 4.8),Fintech
"Developer, back-end",71500000.0,C#;Python,,,,Arduino;CMake,.NET (5+);NumPy;Opencv;Pandas,
"Developer, back-end",10200000.0,Bash/Shell (all shells);Java,,Amazon Web Services (AWS);Microsoft Azure,Spring Boot,,Spring Framework,Fintech
"Developer, full-stack",120000000.0,C++;HTML/CSS;JavaScript;Python;R;SQL,SQLite,,,,Qt,
"Developer, full-stack",48600000.0,HTML/CSS;Java;JavaScript;Python;TypeScript,BigQuery;Cloud Firestore;Firebase Realtime Database,Amazon Web Services (AWS);Firebase;Google Cloud,Angular;AngularJS;Express;Fastify;NestJS;Node.js;React,,,Banking/Financial Services
"Developer, full-stack",30780000.0,C#;Go;Rust;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean,AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Next.js;React;Vue.js;WordPress,Arduino,.NET (5+);.NET Framework (1.0 - 4.8);Electron;NumPy,
"Developer, back-end",100000000.0,Bash/Shell (all shells);Java;Python;Rust,Dynamodb,Amazon Web Services (AWS),,,,Software Development
Academic researcher,88500000.0,HTML/CSS;JavaScript;Python;Rust,,Digital Ocean;Firebase,Express;Flask;Node.js;Svelte,Cargo,Hugging Face Transformers;NumPy;Pandas;Torch/PyTorch,Higher Education
"Developer, full-stack",180000000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;Python;TypeScript,MySQL;SQLite,,Angular;ASP.NET CORE;Node.js,,.NET (5+);Spring Framework,Retail and Consumer Services
"Developer, mobile",79500000.0,Java;Kotlin;Swift,SQLite,,,,SwiftUI,
"Developer, mobile",47400000.0,Dart;JavaScript;SQL,Firebase Realtime Database;Supabase,Firebase;Google Cloud,,,Flutter;React Native,
"Developer, back-end",120150000.0,Elixir;SQL,PostgreSQL,Google Cloud,Phoenix,,,Software Development
"Developer, back-end",342500000.0,JavaScript;Rust;SQL,Cosmos DB;Dynamodb;Neo4J;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner;Microsoft Azure,ASP.NET CORE;React,Cargo;LLVM's Clang;Rasberry Pi,.NET (5+);Apache Kafka;CUDA;Hugging Face Transformers;NumPy;Pandas;RabbitMQ;Torch/PyTorch,Computer Systems Design and Services
"Developer, full-stack",125000000.0,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;MongoDB;Redis;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI,Retail and Consumer Services
"Developer, full-stack",205500000.0,C#;JavaScript,MongoDB;PostgreSQL,,,,.NET Framework (1.0 - 4.8),
Data engineer,1750000.0,Python;SQL,BigQuery;PostgreSQL,Google Cloud,,,Pandas,
"Developer, back-end",72000000.0,Bash/Shell (all shells);Java;JavaScript;Scala,Dynamodb;PostgreSQL;Redis,Amazon Web Services (AWS),Flask;Node.js;Spring Boot,CMake,Apache Spark;NumPy;Pandas;Scikit-Learn;Spring Framework,Manufacturing
"Developer, full-stack",108000000.0,Bash/Shell (all shells);JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,Hetzner;Microsoft Azure;Vercel,Express;React,,,Banking/Financial Services
"Developer, full-stack",232900000.0,HTML/CSS;JavaScript;Ruby;SQL,PostgreSQL,Amazon Web Services (AWS),Ruby on Rails;Vue.js,,,
"Developer, back-end",10800000.0,Dart;HTML/CSS;JavaScript;Swift;Visual Basic (.Net),MongoDB;SQLite,Amazon Web Services (AWS);Digital Ocean;Heroku;Vercel,Flask;Node.js;WordPress,,Keras;Opencv;Pandas;Scikit-Learn;SwiftUI;TensorFlow,Fintech
"Developer, back-end",114600000.0,HTML/CSS;Java;JavaScript;Python;SQL,H2;IBM DB2;Oracle,,Spring Boot;Vue.js,Rasberry Pi,Flutter;Scikit-Learn;Spring Framework,Software Development
