DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, back-end",131520000.0,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,HTML/CSS;Rust;SQL;Zig,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Google Cloud;Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;React,Htmx,Cargo,Cargo,.NET (5+);.NET Framework (1.0 - 4.8),,Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Yarn,Docker,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Retail and Consumer Services,10.0
"Developer, mobile",8000000.0,Dart;Java;Kotlin,Dart;Kotlin,SQLite,SQLite,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud,,,,,Flutter,Flutter,Gradle,Godot;Gradle,AI-assisted technology tool(s),Hybrid (on-prem and cloud),Traditional public search engine,Software Development,9.0
Cloud infrastructure engineer,157500000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;Go;JavaScript;Python;SQL,Microsoft SQL Server;MySQL,Microsoft SQL Server;MongoDB;MySQL,Cloudflare;Firebase;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery;WordPress,ASP.NET;ASP.NET CORE;Express;Next.js;Node.js;React,,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+);RabbitMQ;TensorFlow,Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Visual Studio Solution,Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Terraform,DevOps function;Automated testing;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Manufacturing,9.0
Data engineer,66000000.0,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;SQL,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,Microsoft Azure,Microsoft Azure,,,,,,Apache Kafka,,,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, back-end",33600000.0,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Python;Rust;SQL,PostgreSQL;SQLite,PostgreSQL,Cloudflare;Google Cloud,Cloudflare;Google Cloud,FastAPI;Node.js,Svelte,Cargo,Cargo,,,Docker;Kubernetes;npm;Pip,Docker;Kubernetes;Podman,AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,9.0
"Developer, back-end",66000000.0,Bash/Shell (all shells);Java;TypeScript,Bash/Shell (all shells);Java,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),Angular;Spring Boot,Spring Boot,,,Apache Kafka;Spring Framework,Apache Kafka;Spring Framework,Docker;Homebrew;Maven (build tool);npm,Docker;Homebrew;Maven (build tool),Automated testing;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,,Traditional public search engine,Software Development,8.0
"Developer, full-stack",78000000.0,Bash/Shell (all shells);Go;HTML/CSS;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);Go;Kotlin;Python;Rust;TypeScript;Zig,MariaDB;MongoDB;PostgreSQL;Redis,MariaDB;MongoDB;PostgreSQL;Redis,Google Cloud,Google Cloud,FastAPI;Next.js;Node.js;React,FastAPI;Next.js;Node.js;React,Arduino;Rasberry Pi,Arduino;Rasberry Pi,NumPy;RabbitMQ,Flutter;RabbitMQ;React Native,Docker;npm;Pip;Vite,Docker;Pip;Vite,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,,8.0
"Developer, full-stack",70500000.0,C#;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;Swift;TypeScript;Zig,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,Cloudflare;Vercel,Cloudflare;Vercel,FastAPI;Next.js;Node.js;React,Next.js;Node.js;React;Svelte,Arduino;Cargo,Arduino;Cargo,Pandas;RabbitMQ,Pandas,Docker;npm;NuGet;Pip;pnpm;Vite;Webpack;Yarn,Bun;Docker;Godot;npm;pnpm,None of these,On-prem,Traditional public search engine,Retail and Consumer Services,0.0
"Developer, full-stack",0.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;Rust;TypeScript,MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Microsoft Azure;Vercel,Amazon Web Services (AWS);Vercel,Next.js;React,Next.js;React;Svelte,,,,,APT;Chocolatey;pnpm,Bun;pnpm;Vite,,Cloud only (single or multi-cloud),,Software Development,9.0
"Developer, back-end",195000000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;Rust;SQL;TypeScript,Microsoft SQL Server,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,,,ASP.NET CORE;Django;jQuery,ASP.NET CORE;Blazor;jQuery;Laravel,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+);Apache Kafka;NumPy;Pandas;RabbitMQ;TensorFlow;Torch/PyTorch,Docker;npm;NuGet;Pip,Docker;npm;NuGet;Pip,Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,Software Development,6.0
"Developer, back-end",215900000.0,Ruby,C#;Rust;TypeScript,MySQL,,,,,Blazor,,,,,Homebrew,Bun;Visual Studio Solution,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",7.0
"Developer, full-stack",38253000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MySQL,MySQL;SQLite,,,Node.js,Node.js,,,React Native,React Native,Docker;npm;Webpack,npm;Webpack,Knowledge sharing community;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),A coworker,,8.0
Data engineer,16740000.0,Bash/Shell (all shells);Python;SQL,Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL,,Microsoft Azure,,,,,,Pandas;Scikit-Learn,Pandas;Scikit-Learn,Docker,,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,,8.0
"Developer, back-end",54800000.0,JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Dynamodb;Redis;SQLite,Redis,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS);Google Cloud,Node.js;React,Node.js,,,,,Docker;Kubernetes;npm,Docker;Kubernetes;npm,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,8.0
"Developer, full-stack",171250000.0,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET;Node.js,Svelte,Arduino;CMake;GNU GCC;Rasberry Pi,Arduino;CMake;GNU GCC;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);Pandas,.NET (5+);Pandas,MSBuild;NuGet;Pip;Visual Studio Solution,Godot;Pip,None of these,On-prem,A coworker,Manufacturing,6.0
"Developer, back-end",127500000.0,Java;Python,Java;Python;TypeScript,MongoDB,Elasticsearch;MongoDB;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Spring Boot,Node.js;Spring Boot,,,Spring Framework,Apache Kafka;Spring Framework;Torch/PyTorch,Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Retail and Consumer Services,7.0
"Developer, back-end",150000000.0,C;C++;JavaScript;Python;SQL;TypeScript,C;Python;Rust;SQL;TypeScript,SQLite,PostgreSQL;SQLite,,,FastAPI,,CMake;GNU GCC;LLVM's Clang,,Scikit-Learn;Torch/PyTorch,,APT;Docker;Homebrew;Make;Pip;Podman,APT;Docker;Homebrew;Pip;Podman,Automated testing;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Banking/Financial Services,8.0
Engineering manager,120000000.0,Python,Python,Elasticsearch;MariaDB,Elasticsearch;MariaDB,,,,,,,Apache Kafka,Apache Kafka,Docker;Kubernetes,Docker;Kubernetes,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,"Internet, Telecomm or Information Services",8.0
"Developer, full-stack",91500000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,SQLite,SQLite,,,jQuery;Node.js;Vue.js,jQuery;Node.js;Vue.js,,,,,APT;Composer;npm;Webpack,APT;Composer;npm;Webpack,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,7.0
"Developer, full-stack",76720000.0,JavaScript;PHP;Python;Ruby;SQL;TypeScript,Python,MySQL;PostgreSQL;Redis,PostgreSQL;Redis,Cloudflare;Digital Ocean;Google Cloud,Cloudflare,FastAPI;WordPress,FastAPI;Svelte,,,,,Docker;Kubernetes;npm,Docker,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,8.0
"Developer, back-end",171250000.0,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,ASP.NET CORE;Django;Spring Boot,ASP.NET CORE;Blazor;Spring Boot,,,,,Docker;Gradle;Homebrew;Maven (build tool),Docker;Gradle;Homebrew;Maven (build tool),DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Transportation, or Supply Chain",8.0
"Developer, full-stack",46750000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server,,,Angular;ASP.NET CORE;Node.js,Angular;ASP.NET CORE,,,.NET (5+),.NET (5+),Visual Studio Solution,Visual Studio Solution,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Software Development,8.0
"Developer, back-end",54060000.0,Java;JavaScript;Kotlin;Python,JavaScript;Kotlin;Rust,Elasticsearch,,,,Angular,Svelte,,,RabbitMQ;Spring Framework,,Docker;Gradle;npm,Docker;Godot;npm,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Microsoft Teams search,Software Development,8.0
"Developer, game or graphics",95900000.0,C#;Python;SQL,C#;Python;SQL,MySQL,MySQL,,,,,,,,,,,None of these,On-prem,A coworker,,9.0
"Developer, front-end",90000000.0,HTML/CSS;JavaScript;SQL,HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server,Microsoft SQL Server,,,React,NestJS;React,,,,,npm;Vite,npm;Vite,Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,7.0
"Developer, full-stack",75000000.0,Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript;Zig,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Elasticsearch;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;Netlify;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Vercel,Express;Flask;NestJS;Next.js;Node.js;React;WordPress,Blazor;Flask;Laravel;NestJS;Next.js;Node.js;React;Svelte,Arduino;CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,Arduino;CMake;Cargo;GNU GCC;LLVM's Clang;Rasberry Pi,.NET (5+);Flutter;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,CUDA;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Chocolatey;Composer;Docker;Homebrew;Kubernetes;Maven (build tool);npm;NuGet;Pip;pnpm;Vite;Webpack;Yarn,Ansible;Bun;Composer;Docker;Godot;Homebrew;Kubernetes;npm;NuGet;Pip;pnpm;Terraform;Vite;Webpack;Yarn,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, back-end",300000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;Oracle;Redis,MongoDB;Redis,,,Express;Node.js;React,Node.js,,,Apache Kafka;Pandas,Apache Kafka;Pandas,APT;Docker;Kubernetes;npm;Pip;pnpm;Webpack;Yarn,APT;Bun;Docker;Kubernetes;npm;Pip;pnpm;Webpack,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,"Transportation, or Supply Chain",7.0
Data engineer,216460000.0,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Go;Python;SQL,PostgreSQL,,Amazon Web Services (AWS);Google Cloud,Amazon Web Services (AWS),,,,,Pandas,Pandas,Docker;Homebrew;Kubernetes;Make;Pip,Docker;Homebrew;Kubernetes;Pip;Terraform,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Energy,9.0
"Developer, front-end",142500000.0,Bash/Shell (all shells);JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;Python;SQL;TypeScript,PostgreSQL;SQLite,Elasticsearch;PostgreSQL;SQLite,Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Express;Node.js;React;Spring Boot,Express;Next.js;Node.js;React;Spring Boot,Rasberry Pi,,NumPy;Pandas;Scikit-Learn;Spring Framework,NumPy;Pandas;Scikit-Learn;Spring Framework,Docker;Kubernetes;Maven (build tool);npm;Terraform;Yarn,Docker;Kubernetes;npm;Yarn,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Banking/Financial Services,4.0
Engineering manager,24500.0,C++;Go;JavaScript;Python;Ruby;Rust;SQL,Elixir;Rust;SQL,Dynamodb;Elasticsearch;MariaDB;PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS);Cloudflare,Amazon Web Services (AWS);Cloudflare,Django,,Arduino;CMake;Cargo;Rasberry Pi,Cargo;Rasberry Pi,Apache Kafka;RabbitMQ,,Ansible;APT;Docker;Homebrew;Kubernetes;Make;Webpack,,DevOps function;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,4.0
Data engineer,104805000.0,,,Microsoft SQL Server,MySQL,,,,,,,,,,,Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,,2.0
"Developer, back-end",135000000.0,C#,C#;PowerShell,,,,,ASP.NET CORE,ASP.NET CORE;Blazor,,,.NET (5+),.NET (5+),MSBuild;NuGet,Docker;Kubernetes;MSBuild;NuGet,DevOps function;Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),"Do search of internal share drives/storage locations for documentation (i.e., not a structured knowledge base)",Software Development,10.0
"Developer, full-stack",125800000.0,C#;HTML/CSS;JavaScript;Python;SQL,Swift;TypeScript,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,,Cloudflare,Microsoft Azure,jQuery,React,,,.NET (5+);.NET Framework (1.0 - 4.8);NumPy;Pandas;TensorFlow,,Docker;NuGet,Godot,,Cloud only (single or multi-cloud),Traditional public search engine,,3.0
"Developer, full-stack",1027500000.0,HTML/CSS;JavaScript;PHP,Go,MySQL,PostgreSQL,Amazon Web Services (AWS),,React,,,,,,,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Internal Developer portal,Media & Advertising Services,10.0
"Developer, full-stack",142500000.0,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;jQuery,Angular;ASP.NET CORE,Rasberry Pi,Rasberry Pi,.NET (5+),.NET (5+),Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Vite;Webpack,MSBuild;npm;NuGet;Vite,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,"Internet, Telecomm or Information Services",7.0
"Developer, full-stack",48000000.0,HTML/CSS;JavaScript;Python;SQL,C#,Microsoft SQL Server,SQLite,,,jQuery,,,,,,,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,4.0
"Developer, full-stack",97500000.0,Python;TypeScript,Go;TypeScript,PostgreSQL,MongoDB;PostgreSQL,Google Cloud,Cloudflare;Vercel,Express;FastAPI;Node.js;React,Node.js;Svelte,,,,,Docker;npm;Vite;Webpack;Yarn,Bun;Docker;npm;Vite,DevOps function;Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,"Internet, Telecomm or Information Services",10.0
"Developer, full-stack",142480000.0,C#;Dart;Go;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,C#;Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,MySQL,MongoDB;MySQL;PostgreSQL,Microsoft Azure,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,ASP.NET;Node.js;React,ASP.NET;Laravel;React,,,.NET (5+),.NET (5+),npm;NuGet;Vite,npm;NuGet;Vite,DevOps function;Automated testing;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Other:,Insurance,8.0
"Developer, mobile",17600000.0,Kotlin,Dart;Kotlin;Swift,Oracle;SQLite,SQLite,,,,,,,,,Gradle,Gradle,DevOps function;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, mobile",458950000.0,Bash/Shell (all shells);JavaScript;Kotlin;Ruby;TypeScript,Bash/Shell (all shells);JavaScript;Kotlin;Swift;TypeScript,,,Firebase,,,,,,Flutter;React Native,React Native,Gradle;Homebrew;npm;Yarn,Bun;Docker;Homebrew,DevOps function;Automated testing;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, mobile",186900000.0,,Bash/Shell (all shells);HTML/CSS;JavaScript;Swift;TypeScript,,,Firebase,Amazon Web Services (AWS);Cloudflare,,,,,,,Homebrew;pnpm;Terraform,Docker;Homebrew;pnpm;Terraform;Vite,DevOps function;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Software Development,5.0
"Developer, AI",134640000.0,C#;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript,C#;Java;Python;Rust;SQL,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;PostgreSQL,Amazon Web Services (AWS),,Angular;Express;FastAPI;Flask;Laravel;Node.js;React;Spring Boot;WordPress,Angular;Blazor;FastAPI;Flask;React;Spring Boot,CMake;Cargo;GNU GCC;LLVM's Clang,Arduino;CMake;Cargo;GNU GCC;Rasberry Pi,.NET (5+);Apache Kafka;NumPy;Pandas;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch,.NET (5+);CUDA;NumPy;React Native;Scikit-Learn;Spring Framework;Torch/PyTorch,Composer;Docker;Gradle;Kubernetes;Maven (build tool);Pip;Podman;Vite;Webpack;Yarn,Docker;Godot;Gradle;Kubernetes;Pip;Vite,Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Fintech,7.0
"Developer, front-end",960000.0,HTML/CSS;Python;TypeScript,Go;HTML/CSS;Python;Rust;TypeScript,PostgreSQL,PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,Django;FastAPI;Next.js;React,Next.js;React,,,,,Chocolatey;npm;Pip;pnpm;Vite,Composer;Docker;npm;Pip;pnpm;Vite,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,7.0
"Developer, full-stack",50.4,HTML/CSS;JavaScript;PHP;TypeScript,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;MongoDB,Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud;Netlify;Vercel,Amazon Web Services (AWS);Google Cloud;Vercel,Angular;Flask;jQuery;Laravel;Next.js;Node.js;React,jQuery;NestJS;Next.js;Node.js;React,,,React Native,Flutter;RabbitMQ;React Native,Docker;npm;Vite;Yarn,Docker;npm;pnpm;Vite;Yarn,None of these,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, back-end",64800000.0,Python,Elixir;Python,PostgreSQL,PostgreSQL,,,Django;FastAPI,Django;FastAPI,,,,,Docker,Docker,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Healthcare,8.0
"Developer, full-stack",2304000.0,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,C#;Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Microsoft SQL Server;MySQL,Microsoft SQL Server;MongoDB;MySQL,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud,Angular;ASP.NET;ASP.NET CORE;Express;jQuery;Laravel;Next.js;Node.js;WordPress,Angular;ASP.NET;ASP.NET CORE;jQuery;Laravel;Next.js;Node.js;React,GNU GCC,,.NET (5+);Flutter,.NET (5+);Flutter;React Native,Composer;npm;NuGet;Visual Studio Solution;Yarn,Composer;Docker;npm;NuGet;Pip;Visual Studio Solution;Yarn,DevOps function;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,5.0
"Developer, back-end",93750000.0,Bash/Shell (all shells);Go;SQL,Go,MySQL;Redis,MySQL;Redis,Amazon Web Services (AWS),,,,,,,,APT;Docker;Kubernetes;Make;Terraform,APT;Docker;Kubernetes;Podman,Automated testing;Observability tools;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Media & Advertising Services,5.0
"Developer, full-stack",16340000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;Swift;TypeScript,MariaDB;MongoDB;PostgreSQL;Redis,Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Vercel,Express;FastAPI;NestJS;Next.js;Node.js;React,NestJS;Next.js;Node.js;React;Svelte,Arduino,CMake;Cargo,NumPy;Pandas;RabbitMQ;Scikit-Learn,Apache Kafka;RabbitMQ;React Native;TensorFlow,Chocolatey;Docker;Gradle;Kubernetes;npm;Pip;Vite,Bun;Docker;Kubernetes;Make;Pip;pnpm;Terraform;Vite,DevOps function;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,,6.0
"Developer, embedded applications or devices",205500000.0,C++;Python,C++;Python,SQLite,SQLite,,,FastAPI;Vue.js,FastAPI;Vue.js,,,.NET Framework (1.0 - 4.8),,,,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,7.0
